MLS Id	Area	Price	BR	Bathroom	Sq	Lot	Price/sq	Tax	Commute (Amazon)	Commute (Adobe)	Energy (G/O/E)	Comments	Parking
978228	Maple Leaf	675	3	1.75	2090	3755	323	4939	11	11	G	Not enough pic for kitchen, living room looks small	Off, detached garage
978300	Wedgewood	669	4	2.25	1890	6000	354	5781	13	15	E	No pictures	Off, detached garage
977822	Green Lake	575	3	1.75	1760	3440	326	3724	12	10	O	Old appliances in kitchen, standing shower in master, walk in closet, hot tub in gazebo, attached garage	Off, detached garage
943483	Queen Anne	750	3	1.75	1970	4750	380.7	4852	9	7	G	Long time on market, price reduction	Off, detached garage
978007	Sunset Hill	799	3	1.75	2370	3935	337	5896	16	11	G	Not worth the price	Off, detached garage
975136	Greenwood	650	3	1.5	1880	3750	345	5307	11	9	G	Overall a good home but kitchen in not good both look and layout wise	Off, detached garage
977159	Sunset Hill	675	3	1.5	2320	4850	290	5564	16	11	E/G	Very nice home.	Off, detached garage
975235	Bryant	690	3	1.75	1970	4480	350	6000	13	13	G	Very nice home. Move in ready, no upgrades needed. Can bid for this.	
965381	Maple Leaf	529	3	2	1770	8998	298	4412	12	13	E/O	Layout is good but needs cosmetic changes. Has potential	
975354	Phinnery Ridge	649	4	1.75	1770	3605	366	4518	13	10	G	Nice home. Move in ready	
975984	Ballard	775	3	2	1760	5100	440	5562	15	10	E/G	Beautiful home but not a value for money.	
974921	Ballard	525	3	1.75	1880	5100	279	4576	15	11	E/G	Can be a very good investment. Kitchen layout is not the best	
976136	Whittier	769	4	2.5	2240	5000	343	5146	15	11	G	Very nice home but on the higher end. 	
959064	Sunset Hill	639	3	2	1780	5000	359	5575	17	12	G	Perfect home	Attached garage
928162	Queen Anne	650	4	1.75	2280	2635	285	6500	9	6	E	Needs remodeling but value for money	Off street, can put shed?
974274	Revenna	765	4	2.75	2060	3325	371	5554	10	11	G	Kitchen remodeling	Attached garage
974799	North Beach	725	3	1.75	2280	11000	317	5995	19	14	G	Brick home. Nicely done. Little remodeling	Attached garage
975708	Wedgewood	770	3	2.75	2150	5712	358	5933	14	15	G	Move in ready. Spacious. Nicely done. A deal if $720k	Attached garage
